127.0.0.1 - - [12/Jun/2020:11:30:05 -0300] "GET /pickup-manager HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/img/manager.png HTTP/1.1" 200 48817
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:11:30:06 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:11:30:07 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [12/Jun/2020:11:30:08 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:32:13 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:11:32:14 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:34:46 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:11:34:47 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:35:15 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:11:35:22 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:46:27 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:11:46:52 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:11:47:01 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/img/manager.png HTTP/1.1" 200 48817
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:11:57:24 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:11:57:25 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:11:58:09 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:58:26 -0300] "GET /pickup-manager/oauth2client?code=d5a2d3ec-df19-3df2-bb39-ff5f1c7554d0&session_state=a2b57cc1a04dc36c1b6bf6f9dbab39573feb1df7c9a631528038daec503bfc91.IVX1zyKfUj7I9LFoEq-Lgw HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
